序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
2457,600197,伊力特,15.82,1.15,0.18,59466.0,93857936.0,2.81,15.95,15.51,15.63,15.64,1.67,1.26,23.23,1.95,7467285700.0,7467285700.0,0.06,0.19,-9.75,-8.29
2458,301150,中一科技,21.1,1.15,0.24,28938.0,61230566.34,3.55,21.46,20.72,20.96,20.86,1.84,3.13,-41.86,1.08,3821678462.0,1950733022.0,0.05,0.38,-6.8,-1.59
2459,002893,京能热力,9.69,1.15,0.11,50318.0,48932805.0,2.61,9.82,9.57,9.58,9.58,1.07,2.48,44.91,2.2,2554671600.0,1964924808.0,0.0,0.0,-9.86,-3.96
2460,000157,中联重科,7.05,1.15,0.08,820514.0,572133092.29,3.16,7.06,6.84,6.95,6.97,1.46,1.16,14.62,1.07,61179845264.0,49847095944.0,0.14,0.0,-4.47,-2.49
2461,000548,湖南投资,5.29,1.15,0.06,76490.0,40388565.68,1.91,5.32,5.22,5.24,5.23,1.18,1.53,21.58,1.29,2640851640.0,2640708810.0,0.19,0.19,3.73,2.72
2462,000682,东方电子,9.7,1.15,0.11,286119.0,276791387.68,3.02,9.77,9.48,9.58,9.59,2.28,2.13,23.16,2.68,13005051968.0,13003768173.0,0.1,0.1,-15.14,-9.43
2463,300259,新天科技,3.53,1.15,0.04,135607.0,47852645.8,3.15,3.58,3.47,3.49,3.49,1.27,1.16,26.81,1.45,4129399351.0,4128452305.0,0.0,0.28,-8.79,0.86
2464,002060,广东建工,3.53,1.15,0.04,208574.0,73660850.47,2.58,3.56,3.47,3.49,3.49,1.49,1.33,15.42,1.01,13253008144.0,5516693390.0,0.0,0.0,-9.02,-3.55
2465,002999,天禾股份,6.18,1.15,0.07,126441.0,78235784.6,4.75,6.37,6.08,6.11,6.11,1.94,3.7,153.04,1.79,2148118560.0,2114743779.0,0.0,0.0,-1.12,4.39
2466,002134,天津普林,20.31,1.15,0.23,99595.0,203544284.85,5.68,20.99,19.85,20.0,20.08,1.1,4.05,121.04,10.48,4993208788.0,4993208788.0,0.05,0.25,12.02,5.78
2467,002080,中材科技,12.37,1.14,0.14,212331.0,262613248.6,2.7,12.5,12.17,12.23,12.23,1.64,1.27,25.59,1.14,20758388734.0,20758388734.0,0.0,0.0,-8.44,-5.43
2468,603595,东尼电子,18.56,1.14,0.21,53139.0,98674465.0,2.89,18.8,18.27,18.35,18.35,1.29,2.29,-75.94,2.86,4314129571.0,4314129571.0,0.0,0.05,-10.73,8.6
2469,600567,山鹰国际,1.77,1.14,0.02,1509223.0,267260903.0,4.0,1.8,1.73,1.74,1.75,1.63,2.76,106.01,0.63,9684255097.0,9684255097.0,0.0,0.57,-10.61,-9.69
2470,600199,金种子酒,11.51,1.14,0.13,143622.0,164739581.0,2.37,11.58,11.31,11.4,11.38,1.5,2.18,-57.05,3.13,7571241444.0,7571241444.0,0.0,0.17,-20.89,-13.46
2471,300527,中船应急,7.97,1.14,0.09,180330.0,143763580.97,2.41,8.06,7.87,7.89,7.88,1.51,1.83,1169.24,3.01,7864973691.0,7864973691.0,0.0,0.25,-18.09,-1.24
2472,603808,歌力思,7.09,1.14,0.08,83074.0,58696556.0,2.43,7.14,6.97,7.01,7.01,1.01,2.25,91.18,0.92,2616868505.0,2616868505.0,0.0,0.28,-1.53,1.43
2473,301631,壹连科技,125.87,1.14,1.42,16803.0,211188837.77,3.18,127.6,123.64,123.7,124.45,1.3,12.9,33.56,3.59,8218823757.0,1639872373.0,0.1,0.12,72.45,-4.5
